 ,Area,Mean,Min,Max
1,43,78.767,61,106
2,1235,159.752,61,255
3,215,91.126,61,140
4,132,66.727,61,77
5,3,61.000,61,61
6,213,114.460,61,255
7,80,65.425,61,73
8,223,140.184,61,255
9,143,69.182,61,87
10,71,63.521,61,68
11,74,68.473,61,81
12,2,61.000,61,61
13,195,73.887,61,105
14,5,61.000,61,61
15,29,62.000,61,64
16,101,64.733,61,70
17,235,142.417,61,255
18,21,62.571,61,64
19,86,64.186,61,69
20,139,66.928,61,77
21,19,61.053,61,62
22,79,66.861,61,75
23,146,93.877,61,140
24,104,115.519,61,185
25,16,61.250,61,62
26,370,133.559,61,255
27,11,61.364,61,62
28,1,61.000,61,61
29,1,61.000,61,61
30,3,61.333,61,62
31,11,63.182,61,66
32,183,77.579,61,115
33,10,61.700,61,63
34,5,61.000,61,61
35,90,64.767,61,70
36,250,125.608,61,255
37,304,151.615,61,255
38,605,190.767,61,255
39,37,61.811,61,64
40,3,61.000,61,61
41,32,71.312,62,84
42,210,100.090,61,201
43,180,72.111,61,100
44,9,61.444,61,62
45,378,165.212,61,255
46,117,111.316,61,197
47,448,161.737,61,255
48,278,113.496,61,255
49,2,61.000,61,61
50,6,61.667,61,63
51,294,91.310,61,192
52,207,128.792,61,255
53,53,62.906,61,66
54,273,105.275,61,255
55,312,142.122,61,255
56,353,115.527,61,255
57,220,145.695,61,255
58,129,67.729,61,80
59,80,64.312,61,69
60,31,64.516,61,69
61,103,65.835,61,71
62,114,72.184,61,88
63,18,61.000,61,61
64,1,61.000,61,61
65,257,78.051,61,126
66,154,80.636,61,119
67,6,61.000,61,61
68,51,62.039,61,65
69,71,63.282,61,66
70,397,154.113,61,255
71,134,70.619,61,84
72,79,63.291,61,68
73,367,144.431,61,255
74,114,66.895,61,74
75,1,61.000,61,61
76,296,71.723,61,99
77,3,61.000,61,61
78,132,68.000,61,81
79,67,64.015,61,69
80,7,61.000,61,61
81,3,61.000,61,61
82,98,64.367,61,70
83,21,61.143,61,62
84,72,67.972,61,79
85,8,61.125,61,62
86,64,63.031,61,66
87,134,68.716,61,81
88,21,61.143,61,62
89,3,61.000,61,61
90,17,61.000,61,61
91,295,138.169,61,255
92,92,63.978,61,67
93,295,88.258,61,225
94,144,70.486,61,89
95,244,110.049,61,236
96,1,61.000,61,61
97,71,62.451,61,65
98,58,68.086,61,76
99,87,65.046,61,71
100,24,61.917,61,64
101,256,67.574,61,79
102,22,61.455,61,62
103,275,112.360,61,255
104,235,78.732,61,128
105,86,65.000,61,70
106,6,61.167,61,62
107,7,61.429,61,62
108,277,128.430,61,255
109,7,61.000,61,61
110,75,65.067,61,69
111,6,61.000,61,61
112,317,101.148,61,238
113,8,61.000,61,61
114,146,64.205,61,69
115,254,85.591,61,152
116,71,62.437,61,65
117,223,83.767,61,156
118,19,61.474,61,62
119,58,61.707,61,63
120,34,62.118,61,64
121,3,61.000,61,61
122,324,148.568,61,255
123,4,61.000,61,61
124,39,65.103,61,72
125,4,61.000,61,61
126,335,169.830,61,255
127,26,61.923,61,63
128,258,97.337,61,197
129,77,70.779,61,84
130,330,130.185,61,255
131,15,61.000,61,61
132,24,62.125,61,65
133,70,62.800,61,65
134,446,194.336,61,255
135,74,62.216,61,64
136,15,61.933,61,63
137,224,102.116,61,227
138,3,61.000,61,61
139,34,61.588,61,63
140,13,61.000,61,61
141,106,65.377,61,71
142,100,65.820,61,71
143,33,61.818,61,64
144,151,69.325,61,87
145,82,70.707,61,85
146,35,61.286,61,62
147,278,83.058,61,152
148,4,61.000,61,61
149,200,74.995,61,106
150,1,61.000,61,61
151,134,65.985,61,76
152,13,61.385,61,62
153,110,65.836,61,72
154,342,95.187,61,184
155,308,111.682,61,255
156,32,62.719,61,65
157,10,61.300,61,62
158,309,140.505,61,255
159,3,61.000,61,61
160,420,178.636,61,255
161,39,62.051,61,64
162,51,61.569,61,63
163,342,136.547,61,255
164,5,61.000,61,61
165,328,149.628,61,255
166,1310,182.503,61,255
167,65,62.108,61,65
168,77,63.727,61,66
169,216,79.801,61,125
170,96,72.740,61,116
171,268,72.455,61,101
172,317,190.309,61,255
173,43,61.256,61,62
174,1,61.000,61,61
175,304,127.786,61,255
176,297,87.879,61,153
177,21,61.810,61,63
178,65,62.123,61,65
179,2,62.000,61,63
180,1,61.000,61,61
181,5,65.000,61,68
182,951,206.272,61,255
183,86,63.930,61,68
184,139,65.906,61,73
185,4,61.000,61,61
186,6,74.500,65,82
187,336,94.869,61,193
188,41,61.268,61,62
189,28,61.000,61,61
190,14,61.571,61,63
191,150,67.160,61,79
192,6,61.000,61,61
193,309,133.272,61,255
194,297,98.747,61,233
195,1,61.000,61,61
196,9,61.000,61,61
197,3,61.000,61,61
198,91,65.495,61,71
199,163,69.331,61,86
200,54,62.074,61,64
201,308,150.490,61,255
202,556,155.532,61,255
203,318,129.292,61,255
204,40,61.350,61,62
205,260,90.915,61,174
206,97,64.320,61,68
207,317,98.284,61,195
208,161,73.696,61,100
209,341,171.091,61,255
210,274,98.646,61,211
211,174,67.822,61,80
212,95,65.821,61,71
213,232,77.901,61,119
214,195,83.067,61,133
215,38,61.632,61,63
216,144,70.556,61,83
217,17,61.000,61,61
218,298,111.097,61,238
219,273,72.311,61,105
220,367,97.820,61,201
221,21,61.714,61,63
222,97,66.598,61,75
223,127,101.811,61,231
224,82,118.720,61,238
225,95,74.221,61,89
226,122,72.328,61,118
227,95,68.084,61,82
228,11,61.364,61,62
229,21,62.714,61,65
230,10,61.700,61,63
231,30,62.567,61,66
232,1,61.000,61,61
233,3,61.000,61,61
