 ,Area,Mean,Min,Max
1,20,93.300,66,127
2,40,143.150,67,249
3,2,67.500,67,68
4,46,129.370,68,211
5,38,92.816,70,117
6,46,89.413,66,112
7,159,182.277,67,246
8,174,171.259,66,255
9,6,70.833,66,77
10,42,81.119,66,98
11,78,152.551,66,255
12,376,144.556,66,212
13,82,136.549,66,249
14,40,85.200,66,112
15,98,169.133,68,255
16,69,118.000,66,192
17,131,166.702,66,255
18,70,114.743,66,193
19,11,71.909,67,78
20,79,153.722,66,255
21,63,108.730,67,167
22,25,79.120,66,94
23,131,181.985,66,255
24,60,98.067,66,142
25,4,68.250,66,70
26,293,143.314,66,232
27,70,108.229,66,170
28,17,81.647,67,104
29,68,113.324,66,184
30,20,74.550,67,83
31,128,152.359,67,255
32,53,100.660,66,151
33,71,124.085,66,210
34,144,163.146,68,255
35,90,147.511,67,255
36,100,159.120,72,255
37,33,85.818,66,111
38,61,109.377,68,173
39,39,82.744,66,105
40,71,121.028,66,206
41,326,114.218,66,172
42,95,162.347,66,255
43,80,130.488,66,223
44,66,118.333,66,192
45,62,105.000,66,168
46,85,99.671,66,151
47,41,83.146,66,104
48,308,167.961,66,225
49,41,88.951,67,118
50,82,199.561,74,255
51,36,82.111,66,104
52,23,81.696,66,101
53,6,67.333,66,69
54,73,148.123,66,255
55,65,116.262,67,192
56,64,99.969,66,151
57,45,94.489,66,128
58,111,151.441,66,255
59,657,105.489,66,179
60,125,181.664,66,255
61,161,154.913,66,255
62,16,72.500,66,80
63,124,120.984,66,231
64,17,70.941,67,75
65,51,118.098,68,188
66,174,188.655,66,255
67,77,97.974,66,149
68,176,152.295,67,231
69,153,177.458,66,255
70,60,103.367,68,152
71,34,89.353,66,117
72,133,125.564,66,208
73,23,73.739,66,81
74,200,151.585,66,255
75,473,132.222,66,179
76,184,164.462,66,252
77,35,80.743,66,100
78,40,80.125,66,99
79,9,69.444,66,76
80,153,182.856,67,255
81,219,171.584,66,255
82,85,153.165,67,255
83,6,67.833,66,70
84,201,151.801,66,255
85,22,76.091,67,89
86,79,145.557,66,255
87,312,168.856,66,255
88,31,84.387,66,109
89,140,175.393,67,255
90,75,131.067,66,234
91,117,195.538,67,255
92,24,82.042,67,101
93,12,70.500,67,75
94,163,185.730,67,255
95,5,68.800,66,73
96,53,112.509,67,172
97,57,101.737,67,146
98,7,67.571,66,70
99,66,123.576,66,200
100,158,166.095,66,255
101,53,104.019,66,160
102,23,75.739,66,87
103,95,171.032,68,255
104,7,68.714,66,71
105,94,157.606,66,255
106,1,66.000,66,66
107,1,66.000,66,66
108,21,74.381,66,84
109,32,82.000,66,103
110,111,130.027,66,217
111,97,165.351,66,255
112,10,68.200,66,71
113,67,119.851,66,199
114,18,70.833,66,77
115,90,171.378,70,255
116,17,73.412,66,82
117,49,92.673,67,126
118,27,78.593,66,95
119,4,66.750,66,67
120,74,150.311,71,255
121,23,73.304,66,81
122,120,178.667,66,255
123,127,178.961,69,255
124,23,73.783,66,84
125,24,83.792,69,101
126,53,96.887,66,136
127,98,147.378,66,255
128,4,69.000,68,70
129,78,156.090,66,255
130,79,151.203,66,255
131,2,66.000,66,66
132,61,97.902,66,140
133,104,171.654,68,255
134,124,127.008,66,255
135,250,174.196,66,246
136,29,78.138,66,95
137,206,186.650,66,255
138,117,169.222,66,255
139,129,175.760,66,255
140,45,91.044,68,127
141,40,75.575,66,87
142,110,169.791,66,255
143,49,100.041,66,140
144,82,98.341,66,153
145,59,97.441,66,147
146,78,146.974,67,255
147,34,77.853,66,92
148,30,79.033,66,95
149,90,146.156,66,255
150,52,81.769,66,106
151,18,73.944,66,85
152,104,171.644,69,255
153,116,169.250,66,255
154,69,145.333,67,255
155,90,163.033,67,255
156,5,67.000,66,68
157,58,106.569,68,163
158,91,160.352,67,255
159,47,85.809,67,110
160,111,173.324,69,255
161,59,99.220,68,142
162,56,91.839,66,130
163,79,117.772,66,198
164,80,124.162,66,217
165,110,106.182,66,191
166,20,70.400,66,76
167,86,146.302,66,255
168,115,185.435,66,255
169,40,78.850,66,95
170,227,137.969,66,255
171,60,100.433,66,150
172,66,119.788,66,196
173,7,68.286,67,70
174,88,176.659,68,255
175,30,79.933,66,101
176,45,82.533,66,103
177,104,167.933,66,255
178,109,170.872,66,255
179,44,87.932,66,114
180,103,174.019,66,255
181,9,68.778,66,72
182,77,135.883,66,240
183,14,70.571,66,76
184,15,71.067,66,79
185,262,121.615,66,255
186,230,161.430,67,255
187,5,67.600,67,69
188,41,80.780,66,100
189,49,90.143,66,122
190,34,83.176,67,104
191,16,73.062,66,80
192,78,131.333,66,237
193,121,188.504,67,255
194,112,179.607,67,255
195,60,127.200,68,212
196,34,82.971,66,104
197,61,133.574,68,213
198,124,184.839,66,255
199,10,71.500,66,77
200,73,100.233,66,151
201,133,164.729,66,255
202,80,131.512,67,226
203,74,120.054,66,200
204,169,132.740,67,250
205,72,122.764,66,213
206,59,99.712,66,151
207,7,69.143,67,73
208,219,179.027,66,255
209,21,71.571,66,78
210,97,175.639,68,255
211,79,154.544,66,255
212,1,66.000,66,66
213,42,81.095,66,102
214,124,141.726,66,255
215,8,69.250,66,73
216,13,68.154,66,71
217,10,69.400,66,73
218,77,155.169,66,255
219,69,111.565,66,184
220,158,180.177,66,255
221,198,181.116,66,255
222,10,67.600,66,70
223,86,81.244,66,102
224,56,97.964,66,141
225,9,69.556,67,72
226,152,184.000,66,255
227,97,109.505,66,192
228,10,71.000,66,77
229,57,94.789,66,136
230,76,111.118,66,180
231,51,94.922,68,130
232,48,85.542,66,111
233,221,179.774,67,255
234,75,116.413,66,191
235,82,142.220,66,255
236,29,92.828,67,133
237,540,136.346,66,188
238,19,72.632,66,81
239,60,103.883,66,158
240,71,100.775,67,152
241,61,107.049,68,163
242,21,69.000,66,74
243,68,115.838,67,187
244,64,102.953,66,155
245,35,86.114,68,110
246,102,167.588,67,255
247,104,178.673,67,255
248,520,139.812,67,234
249,64,114.328,67,185
250,102,167.235,66,255
251,96,166.781,66,255
252,20,71.800,66,79
253,21,74.190,66,84
254,122,174.566,66,255
255,121,182.074,66,255
256,66,90.939,66,139
257,91,84.484,66,113
258,84,142.524,66,255
259,20,70.350,66,74
260,92,158.304,66,255
261,25,75.520,66,88
262,11,69.636,66,73
263,50,100.420,66,146
264,329,142.775,66,242
265,100,185.040,67,255
266,71,109.042,67,168
267,81,124.272,66,223
268,94,124.617,66,221
269,43,89.767,66,120
270,37,82.919,67,103
271,310,164.635,66,255
272,14,72.286,66,80
273,24,77.125,66,89
274,112,122.625,66,255
275,45,87.622,67,117
276,32,77.125,66,91
277,59,100.390,67,148
278,72,141.458,70,244
279,1806,96.236,66,160
280,217,163.608,66,255
281,9,67.667,66,70
282,32,83.500,67,102
283,142,171.338,66,255
284,6,68.000,66,70
285,49,86.898,66,113
286,67,125.418,68,208
287,87,152.621,66,255
288,65,104.400,66,154
289,204,169.025,66,255
290,9,70.444,66,75
291,44,84.795,66,111
292,2,66.000,66,66
293,25,76.040,66,89
294,26,75.885,66,89
295,78,151.821,66,255
296,71,141.408,67,255
297,105,174.886,66,255
298,66,127.530,67,213
299,21,76.524,67,90
300,180,166.994,66,255
301,8,69.500,66,73
302,53,95.698,66,135
303,200,179.565,66,255
304,57,116.632,70,186
305,56,96.554,66,144
306,3,66.667,66,67
307,41,86.073,66,109
308,70,115.386,66,192
309,15,69.267,66,73
310,4,69.250,67,71
311,81,153.827,68,255
312,163,171.061,67,255
313,484,148.440,67,191
314,31,81.645,66,100
315,27,74.222,66,84
316,72,116.153,66,197
317,72,118.069,67,195
318,67,109.463,67,169
319,111,176.937,66,255
320,38,88.947,68,114
321,3,66.000,66,66
322,68,116.676,66,196
323,147,164.578,66,255
324,304,144.385,66,246
325,65,108.354,66,175
326,52,109.346,68,164
327,91,131.769,68,251
328,50,83.520,66,111
329,16,75.250,66,85
330,11,71.545,67,77
331,75,161.427,66,255
332,94,167.628,66,255
333,56,99.875,66,146
334,53,95.717,66,133
335,80,143.238,66,255
336,759,131.991,66,235
337,56,95.946,66,139
338,71,105.732,66,170
339,145,178.000,66,255
340,19,73.158,66,82
341,41,85.268,66,108
342,242,171.285,66,255
343,130,130.923,66,255
344,1,66.000,66,66
345,12,70.083,66,75
346,160,174.100,67,255
347,58,114.483,66,179
348,36,84.583,66,112
349,215,183.367,66,255
350,26,73.808,66,83
351,12,69.917,66,75
352,124,166.782,66,255
353,14,71.357,67,76
354,56,100.071,68,149
355,177,170.305,66,255
356,15,72.933,66,81
357,41,80.341,66,103
358,182,171.830,66,255
359,80,141.825,66,255
360,114,167.254,66,255
361,91,155.637,66,255
362,27,80.370,67,97
363,119,179.437,70,255
364,54,90.611,66,127
365,31,77.065,66,90
366,158,178.342,66,255
367,101,167.980,66,255
368,214,181.640,66,255
369,25,76.520,66,92
370,78,155.167,66,255
371,49,96.939,66,135
372,171,155.491,66,255
373,41,80.780,66,101
374,87,154.322,66,255
375,58,121.121,68,200
376,50,90.200,66,124
377,29,74.828,66,85
378,69,149.623,66,255
379,92,160.283,67,255
380,42,94.333,69,128
381,65,90.908,66,137
382,40,86.900,67,115
383,51,97.059,66,143
384,51,170.039,69,255
385,70,166.871,67,255
386,25,77.240,66,90
387,52,139.404,66,255
388,40,160.075,67,255
389,15,85.733,66,113
390,18,75.333,66,88
391,4,67.750,66,69
