 ,Area,Mean,Min,Max
1,24009,214.194,173,255
2,74,202.919,173,241
3,3,173.333,173,174
4,219,228.813,173,255
5,107,224.720,174,255
6,127,233.291,173,255
7,167,235.671,173,255
8,47,189.660,173,219
9,43,191.047,173,212
10,3,175.000,174,176
11,72,203.722,173,243
12,162,228.364,173,255
13,37,186.703,173,203
14,77,193.506,173,226
15,35,183.486,173,197
16,512,239.656,173,255
17,7,174.286,173,176
18,79,221.152,176,255
19,185,234.865,173,255
20,23,178.565,173,186
21,46,191.500,173,218
22,59,206.085,174,250
23,37,185.135,173,199
24,134,229.425,173,255
25,93,222.075,173,255
26,182,230.775,174,255
27,85,205.553,173,255
28,187,235.390,173,255
29,46,181.630,173,191
30,215,234.767,173,255
31,306,245.441,173,255
32,24,177.208,173,182
33,205,235.415,173,255
34,275,241.520,174,255
35,193,218.870,173,255
36,83,216.482,173,255
37,258,235.151,173,255
38,193,232.466,173,255
