 ,Area,Mean,Min,Max
1,68,216.147,161,255
2,67,227.403,161,255
3,128,232.383,163,255
4,168,240.649,161,255
5,64,231.312,164,255
6,51,227.843,162,255
7,29,198.621,161,243
8,31,196.548,161,239
9,217,243.124,162,255
10,92,237.685,164,255
11,48,222.604,164,255
12,105,239.343,162,255
13,52,232.788,163,255
14,7,167.000,161,174
15,134,236.448,161,255
16,64,238.250,166,255
17,35,205.629,162,255
18,18,181.444,161,203
19,33,199.212,161,249
20,11,172.000,161,185
21,75,234.907,163,255
22,37,210.189,164,255
23,7,168.714,163,174
24,54,232.537,165,255
25,89,226.640,162,255
26,197,239.619,162,255
27,74,236.676,161,255
28,53,225.547,164,255
29,207,234.275,162,255
30,40,212.150,161,255
31,69,233.014,165,255
32,72,231.431,161,255
33,339,250.578,162,255
34,12,175.833,167,187
35,28,196.143,161,243
36,53,222.849,161,255
37,32,208.844,162,255
38,40,216.100,164,255
39,65,238.415,162,255
40,50,224.260,161,255
41,101,231.287,161,255
42,192,228.562,162,255
43,156,236.731,165,255
44,9,174.333,163,188
45,69,228.188,163,255
46,101,230.485,161,255
47,28,203.786,165,252
48,10,166.600,161,172
49,20,185.400,161,211
50,143,229.063,161,255
51,55,226.473,161,255
52,102,233.902,162,255
53,55,219.891,162,255
54,29,198.690,161,248
55,17,178.000,161,198
56,2,164.500,162,167
57,198,229.141,162,255
58,10,178.500,162,197
59,8,173.250,164,184
60,12,177.583,161,194
61,118,233.822,161,255
62,25,198.840,166,243
63,209,226.761,161,255
64,82,232.451,162,255
65,241,236.456,161,255
66,30,189.967,162,227
67,269,244.684,165,255
68,55,227.400,161,255
69,34,221.324,163,255
70,183,226.770,161,255
71,232,233.453,161,255
72,29,196.207,161,242
73,35,227.371,169,255
74,65,222.862,161,255
75,145,228.117,161,255
76,44,218.045,167,255
77,29,206.345,163,255
78,138,225.246,161,255
79,51,220.353,161,255
80,57,224.333,165,255
81,244,228.783,161,255
82,2,165.000,165,165
83,13,197.538,161,237
84,208,231.413,161,255
85,1,161.000,161,161
86,24,196.292,164,240
