 ,Area,Mean,Min,Max
1,25809,88.977,68,255
2,3,68.000,68,68
3,79,75.595,68,85
4,39,69.667,68,72
5,241,128.017,68,255
6,246,110.504,68,248
7,245,127.759,68,255
8,315,140.340,68,255
9,4,68.000,68,68
10,126,101.770,68,146
11,385,170.132,68,255
12,3,68.000,68,68
13,32,68.750,68,71
14,360,119.653,68,243
15,1,68.000,68,68
16,433,186.226,68,255
17,6,68.000,68,68
18,217,103.972,68,196
19,336,157.301,68,255
20,349,120.052,68,255
21,253,126.198,68,255
22,400,176.593,68,255
23,8,68.875,68,70
24,423,152.851,68,255
25,292,146.914,68,255
26,28,71.464,68,76
27,360,168.864,68,255
28,13,70.000,68,73
29,199,77.834,68,98
30,249,113.076,68,244
31,375,161.704,68,255
32,65,74.169,68,81
33,164,84.280,68,115
34,140,90.636,68,126
35,51,73.176,68,77
36,11,69.727,68,72
37,278,144.421,68,255
38,200,113.905,68,219
39,188,88.069,68,134
40,220,84.764,68,141
41,383,88.379,68,168
42,147,88.211,68,126
43,280,131.304,68,255
44,255,107.482,68,248
45,71,73.211,68,79
46,52,71.135,68,75
47,560,171.973,68,255
48,1,68.000,68,68
49,63,71.429,68,76
50,67,73.612,68,80
51,288,147.094,68,255
52,131,82.595,68,105
53,50,71.740,68,77
54,183,115.393,68,235
55,356,154.475,68,255
56,403,195.439,68,255
57,304,135.178,68,255
58,105,147.667,68,251
59,510,191.773,68,255
60,302,164.351,68,255
61,76,73.526,68,79
62,208,100.409,68,179
63,110,82.864,68,105
64,679,111.041,68,255
65,331,137.553,69,255
66,116,79.259,68,95
67,575,190.283,68,255
68,322,153.339,68,255
69,122,97.008,68,139
70,329,184.970,68,255
71,75,73.107,68,78
72,224,119.040,68,227
73,1,68.000,68,68
74,1,68.000,68,68
75,120,99.867,68,134
76,243,95.840,68,174
77,1618,167.295,68,255
78,116,80.259,68,95
79,3,68.000,68,68
80,311,135.711,68,255
81,132,88.265,68,119
82,60,71.783,68,76
83,60,72.067,68,75
84,149,87.248,68,117
85,133,86.684,68,114
86,65,76.338,68,84
87,93,69.968,68,75
88,92,75.772,68,83
89,314,104.503,68,219
90,3,68.000,68,68
91,412,166.733,68,255
92,145,89.931,68,125
93,408,210.201,69,255
94,259,110.900,68,235
95,51,70.529,68,74
96,4,68.500,68,69
97,54,72.981,68,78
98,236,108.021,68,212
99,300,131.943,68,255
100,245,131.416,68,255
101,173,98.954,68,189
102,163,75.890,68,94
103,269,99.903,68,204
104,426,209.599,68,255
105,254,98.673,68,161
106,190,108.563,68,196
107,195,92.344,68,139
108,241,126.232,68,255
109,254,103.102,68,196
110,208,93.601,68,154
111,2,68.000,68,68
112,189,115.180,68,217
113,7,68.286,68,69
114,94,76.436,68,87
115,9,68.667,68,70
116,52,70.423,68,73
117,3085,82.100,68,178
118,24,73.708,68,81
119,2,68.000,68,68
120,282,117.532,68,255
121,57,70.754,68,74
122,8630,90.548,68,255
123,451,198.743,68,255
124,505,196.895,68,255
125,738,209.592,68,255
126,84,72.940,68,79
127,8,68.500,68,70
128,4,69.750,68,72
129,237,125.603,68,255
130,54,71.574,68,76
131,44,71.250,68,75
132,241,109.008,68,215
133,68,73.618,68,79
134,420,127.048,68,255
135,1002,190.239,68,255
136,231,113.476,68,247
137,544,196.042,68,255
