 ,Area,Mean,Min,Max
1,59,117.915,78,173
2,22,85.091,79,92
3,8,90.500,78,105
4,180,179.889,79,255
5,106,129.736,78,222
6,86,142.570,78,255
7,132,171.955,78,255
8,206,163.641,78,255
9,120,170.908,78,255
10,102,182.843,78,255
11,49,109.735,78,152
12,127,142.724,78,255
13,48,101.333,78,134
14,14,84.571,79,91
15,100,187.000,80,255
16,1,78.000,78,78
17,65,122.831,78,185
18,90,186.456,78,255
19,412,198.981,78,255
20,108,99.824,78,155
21,22,86.227,79,97
22,27,84.778,78,95
23,168,158.024,78,255
24,24,85.792,78,97
25,76,134.382,78,218
26,26,89.846,78,104
27,262,190.679,78,255
28,161,183.348,78,255
29,28,142.036,79,255
30,13,84.538,78,91
31,241,186.307,78,255
32,59,115.407,78,170
33,252,188.897,78,255
34,34,97.412,79,120
35,135,164.281,78,255
36,2,78.000,78,78
37,225,162.382,78,255
38,62,123.500,79,192
39,1,78.000,78,78
40,163,178.313,80,255
41,401,195.559,78,255
42,61,145.410,79,241
43,98,135.224,80,254
44,92,130.804,80,242
45,132,179.508,78,255
46,347,163.865,78,255
47,366,178.363,78,255
48,6,81.000,78,83
49,32,85.844,78,99
50,2,79.000,79,79
51,68,136.103,81,231
52,12,86.333,80,95
53,97,199.278,79,255
54,60,119.767,79,179
55,76,151.895,79,255
56,6,83.667,79,87
57,179,161.693,78,255
58,156,189.679,78,255
59,5,78.800,78,81
60,4,79.000,78,80
61,9,87.556,81,98
62,451,185.783,78,255
63,75,151.893,79,255
64,47,111.872,78,156
65,15,87.933,79,96
66,52,112.192,79,154
67,73,139.178,80,236
68,111,186.135,78,255
69,8,79.750,78,83
70,21,87.905,78,99
71,99,177.000,78,255
72,8,80.000,78,84
73,56,113.089,78,165
74,68,155.868,78,255
75,43,100.953,79,126
76,78,141.474,79,241
77,34,91.000,79,108
78,46,103.674,78,137
79,180,187.461,78,255
80,31,91.677,78,108
81,70,172.986,80,255
82,138,176.870,78,255
83,93,179.323,78,255
84,22,87.636,78,99
85,79,158.823,78,255
86,240,156.425,78,255
87,99,177.313,79,255
88,99,184.848,80,255
89,136,175.500,78,255
90,6,84.000,80,90
91,9,83.000,80,87
92,78,146.846,79,255
93,62,124.452,78,198
94,76,137.658,79,232
95,16,84.312,78,92
96,78,160.551,81,255
97,166,194.657,78,255
98,5,81.800,78,84
99,171,185.444,78,255
100,16,89.875,79,102
101,122,168.115,78,255
102,20,84.300,78,90
103,137,120.606,78,197
104,57,109.193,78,153
105,42,104.738,78,141
106,6,82.000,78,85
107,237,175.595,78,255
108,10,80.700,78,84
109,333,155.288,79,255
110,62,110.871,78,159
111,73,102.479,78,151
112,29,99.207,81,123
113,85,186.247,80,255
114,321,176.287,78,255
115,213,175.892,82,255
116,329,172.398,78,255
117,120,190.933,78,255
118,82,136.695,78,241
119,18,85.722,78,93
120,99,164.960,78,255
121,118,182.915,79,255
122,9,83.778,78,90
123,106,195.858,79,255
124,93,175.591,78,255
125,4,79.250,78,80
126,106,195.066,79,255
127,593,172.934,78,255
128,160,187.431,78,255
129,35,102.600,78,132
130,90,174.067,78,255
131,77,176.974,81,255
132,39,100.385,78,131
133,26,88.385,80,100
134,82,165.634,78,255
135,224,169.286,78,255
136,81,134.951,78,226
137,78,137.654,78,236
138,57,127.175,78,193
139,60,129.500,78,207
140,188,193.516,78,255
141,51,113.294,79,163
142,31,88.968,79,101
143,32,91.531,78,110
144,243,160.169,78,255
145,43,101.744,78,133
146,235,160.728,78,255
147,68,132.368,78,216
148,38,98.105,80,120
149,3,78.000,78,78
150,460,199.963,78,255
151,1,78.000,78,78
152,87,162.322,80,255
153,16,81.125,78,86
154,135,182.104,78,255
155,90,157.122,78,255
156,1,79.000,79,79
157,67,154.090,78,255
158,20,87.950,79,101
159,78,129.897,78,216
160,67,131.194,78,213
161,4,79.250,78,80
162,69,149.087,78,254
163,95,166.495,78,255
164,84,165.393,78,255
165,83,160.325,78,255
166,4,78.750,78,80
167,50,111.500,78,160
168,84,163.310,79,255
169,47,104.383,78,135
170,61,108.689,78,154
171,16,84.125,79,92
172,14,84.500,78,92
173,13,84.154,79,89
174,81,116.790,78,255
175,68,150.397,80,255
176,66,123.864,78,194
177,112,184.839,78,255
178,278,155.644,78,255
179,40,94.250,78,115
180,10,79.700,78,82
181,96,183.490,78,255
182,114,139.096,78,255
183,60,149.550,78,253
184,6,80.167,78,83
185,70,130.343,79,207
186,49,111.571,78,158
187,175,161.611,79,255
188,75,151.613,79,255
189,90,178.167,78,255
190,35,98.857,78,128
191,48,103.188,78,138
192,90,183.444,82,255
193,191,178.665,78,255
194,11,81.364,78,86
195,1,79.000,79,79
196,245,141.902,78,255
197,90,186.056,78,255
198,8,80.375,78,83
199,68,149.544,78,255
200,92,169.033,78,255
201,45,106.422,78,144
202,42,102.857,79,132
203,66,149.530,79,255
204,17,92.000,78,104
205,49,104.735,78,145
206,52,108.769,81,148
207,62,131.081,78,216
208,329,153.894,78,255
209,15,84.867,78,93
210,154,169.727,78,255
211,131,177.656,78,255
212,38,108.342,79,143
213,92,195.435,79,255
214,31,98.258,78,123
215,175,183.937,78,255
216,48,113.062,78,162
217,91,175.725,78,255
218,111,168.928,78,255
219,44,104.091,78,137
220,64,120.359,78,187
221,79,180.203,79,255
222,68,127.926,78,201
223,69,141.536,79,240
224,124,150.581,78,255
225,9,81.222,79,84
226,55,110.745,79,163
227,59,124.017,78,192
228,60,120.783,78,181
229,28,91.071,78,109
230,205,147.610,78,255
231,54,117.796,78,174
232,47,122.894,78,173
233,227,184.705,78,255
234,272,170.960,78,255
235,61,107.246,78,159
236,307,195.225,78,255
237,58,131.431,80,212
238,118,156.178,78,255
239,294,163.922,79,255
240,85,126.188,78,205
241,12,81.417,78,87
242,34,91.941,78,111
243,49,88.327,78,103
244,50,119.200,78,177
245,92,189.967,80,255
246,37,97.595,78,125
