 ,Area,Mean,Min,Max
1,34610,209.744,162,255
2,11,163.182,162,165
3,6,163.500,162,165
4,8,163.375,162,165
5,4,162.750,162,164
6,1,163.000,163,163
7,146,225.267,162,255
8,15,166.933,162,172
9,171,229.883,162,255
10,34,165.618,162,170
11,202,231.728,162,255
12,127,209.661,162,255
13,3,163.000,162,164
14,983,248.115,164,255
15,94,187.670,163,223
16,59,175.475,162,190
17,102,203.765,162,250
18,292,243.079,162,255
19,44,167.159,162,175
20,118,217.754,162,255
21,28,167.893,162,175
22,148,228.155,162,255
23,229,208.044,162,255
24,9,162.667,162,163
25,69,180.681,162,208
26,4,162.750,162,164
27,35,175.086,163,194
28,127,223.677,162,255
29,38,167.289,162,174
30,163,229.963,162,255
31,101,205.554,162,255
32,25,177.520,162,197
33,149,241.275,162,255
34,15,169.800,162,181
35,65,183.431,162,215
