 ,Area,Mean,Min,Max
1,30959,215.611,171,255
2,40,201.925,173,247
3,22,190.545,171,214
4,4,173.000,172,175
5,1,171.000,171,171
6,31,194.194,171,225
7,67,230.701,171,255
8,1,171.000,171,171
9,49,220.102,173,255
10,77,231.260,171,255
11,77,233.338,172,255
12,38,207.316,171,255
13,41,205.610,173,249
14,36,203.889,171,255
15,61,209.213,171,255
16,27,193.185,172,221
17,135,230.022,171,255
18,47,215.170,172,255
19,73,216.644,172,255
20,59,225.034,172,255
21,109,226.661,171,255
22,41,212.366,174,255
23,55,217.964,171,255
24,2,173.500,172,175
25,53,222.962,173,255
26,81,229.877,172,255
27,27,194.185,171,221
28,152,231.184,173,255
29,19,185.105,172,200
30,1,172.000,172,172
31,2,171.500,171,172
32,135,227.637,171,255
33,21,191.857,172,215
34,12,183.333,172,197
35,27,185.333,172,204
36,49,218.694,171,255
37,46,209.152,171,255
38,1,171.000,171,171
39,31,198.194,171,233
40,34,203.441,171,243
41,15,182.600,172,197
42,8,178.875,173,185
43,14,184.571,172,198
44,55,220.527,172,255
45,805,248.896,171,255
46,54,220.870,171,255
47,79,230.241,172,255
48,113,231.018,171,255
49,11,178.364,171,186
50,48,228.458,171,255
51,35,192.714,172,218
52,100,231.240,171,255
53,37,207.162,171,255
54,36,210.222,172,255
55,40,201.800,171,247
56,7,173.857,171,177
57,42,206.881,171,255
58,267,228.517,171,255
59,57,223.439,171,255
60,4,178.000,174,182
61,3,171.333,171,172
62,71,219.127,171,255
63,8,176.125,172,183
64,22,195.091,173,224
65,2,171.000,171,171
66,72,222.236,171,255
67,178,228.916,171,255
68,4,171.750,171,173
69,160,221.744,171,255
70,2,173.000,173,173
71,47,215.830,171,255
72,5,178.200,172,183
73,64,222.156,171,255
74,42,216.929,175,255
75,222,223.617,171,255
76,4,172.750,172,174
77,55,217.073,171,255
78,48,220.583,172,255
79,4,175.000,173,177
80,3,174.333,172,176
81,2,173.000,172,174
82,44,209.045,171,255
83,77,219.818,171,255
84,30,195.500,172,228
85,39,207.154,171,255
86,36,199.806,171,237
87,56,233.143,174,255
88,37,194.514,171,220
89,85,229.647,172,255
90,3,173.333,172,176
91,161,226.354,171,255
92,89,231.191,172,255
93,13,181.231,173,193
94,57,230.772,173,255
95,3,172.333,171,174
96,2,172.500,172,173
97,16,183.938,172,196
98,185,224.357,171,255
99,39,207.846,171,255
100,2,174.000,174,174
101,16,179.500,171,191
102,44,216.955,172,255
103,1,175.000,175,175
104,29,180.172,171,192
105,31,196.742,171,232
106,154,219.500,171,255
107,19,182.526,171,198
108,3,171.000,171,171
109,237,233.810,172,255
110,5,175.000,171,179
111,2,174.000,174,174
112,23,189.870,171,214
113,5,174.200,171,179
114,117,226.179,171,255
115,10,178.400,173,187
116,19,187.474,176,204
117,2,172.000,171,173
118,6,176.167,171,181
119,10,177.000,172,185
120,36,204.472,173,247
121,11,174.273,172,178
122,8,176.750,172,185
123,20,187.950,171,214
