 ,Area,Mean,Min,Max
1,24059,119.535,90,255
2,559,164.222,90,255
3,7,90.571,90,91
4,127,126.984,90,169
5,3,90.000,90,90
6,359,193.106,90,255
7,232,165.366,90,255
8,215,161.214,90,255
9,19,96.526,90,103
10,22,99.182,91,108
11,4,92.000,90,93
12,4,91.250,90,92
13,11,91.273,90,93
14,136,162.176,90,252
15,118,138.305,90,197
16,327,161.606,90,255
17,251,134.904,90,255
18,38,92.868,90,97
19,17,93.941,90,98
20,156,154.641,90,251
21,70,98.057,90,106
22,102,108.735,90,128
23,202,159.450,90,255
24,18,92.000,90,96
25,187,147.380,90,255
26,241,139.112,90,255
27,7,91.714,90,93
28,29,90.345,90,92
29,430,200.077,90,255
30,259,175.911,91,255
31,187,169.845,90,255
32,413,164.397,90,255
33,171,153.690,90,255
34,21,94.286,90,98
35,137,181.387,90,255
36,26,92.462,90,95
37,319,168.461,90,255
38,320,167.528,90,255
39,21,95.143,90,101
40,275,152.018,90,255
41,138,184.297,90,255
42,13,90.308,90,91
43,113,106.177,90,126
44,10,92.400,91,95
45,63,102.714,90,116
46,84,98.369,90,109
47,173,138.543,90,255
48,71,101.535,90,117
49,46,94.500,90,100
50,158,150.918,90,255
51,344,165.212,90,255
52,1,90.000,90,90
53,225,146.138,90,255
54,136,182.118,90,255
55,19,93.421,90,98
56,43,92.372,90,96
57,40,91.375,90,94
58,125,104.456,90,132
59,203,146.128,90,255
60,49,94.327,90,101
