 ,Area,Mean,Min,Max
1,3,93.000,93,93
2,22,136.818,98,187
3,86,233.035,99,255
4,128,231.555,93,255
5,102,219.402,96,255
6,82,225.780,95,255
7,1,93.000,93,93
8,79,172.304,94,255
9,86,204.512,101,255
10,64,148.641,95,239
11,144,140.139,93,255
12,5,94.000,93,96
13,96,219.250,93,255
14,1,93.000,93,93
15,5,97.400,96,99
16,120,191.383,93,255
17,7,95.857,93,99
18,58,126.759,95,178
19,89,208.169,94,255
20,68,174.941,93,255
21,18,104.500,94,115
22,100,214.050,95,255
23,27,111.852,94,136
24,8,95.375,93,98
25,50,132.520,93,186
26,75,198.733,93,255
27,64,155.000,94,247
28,77,175.416,94,255
29,78,200.103,96,255
30,25,109.800,94,127
31,14,98.071,93,104
32,61,151.426,96,230
33,81,180.506,96,255
34,13,101.462,96,109
35,4,93.750,93,94
36,86,213.523,96,255
37,64,169.219,93,255
38,6,96.500,93,100
39,74,187.730,93,255
40,91,218.758,95,255
41,15,101.867,93,111
42,72,143.292,93,234
43,57,135.421,93,195
44,120,193.875,93,255
45,99,226.162,99,255
46,117,214.641,93,255
47,86,199.360,93,255
48,88,207.045,93,255
49,54,181.056,93,255
50,11,96.545,93,102
51,76,178.539,94,255
52,2,93.500,93,94
53,174,206.063,93,255
54,5,94.000,93,95
55,67,167.746,96,255
56,94,208.106,94,255
57,86,200.500,94,255
58,99,209.485,98,255
59,62,164.839,93,255
60,79,163.975,93,255
61,86,191.721,93,255
62,16,100.062,94,107
63,205,173.098,93,255
64,13,104.000,93,113
65,69,171.000,93,255
66,94,219.532,93,255
67,41,111.683,93,135
68,103,182.806,95,255
69,35,112.771,93,139
70,10,98.000,93,102
71,69,142.043,93,219
72,59,134.068,93,199
73,131,187.420,93,255
74,4,95.250,95,96
75,4,93.750,93,95
76,117,200.496,93,255
77,15,101.067,93,111
78,85,207.400,96,255
79,19,102.316,93,112
80,65,159.785,94,255
81,22,105.773,95,119
82,44,129.455,93,178
83,61,140.197,94,217
84,94,175.883,93,255
85,1,93.000,93,93
86,83,206.831,96,255
87,101,170.525,93,255
88,52,144.904,98,213
89,65,152.092,95,242
90,92,207.533,94,255
91,138,177.841,93,255
92,90,195.367,93,255
93,76,148.921,93,255
94,19,113.842,94,144
