 ,Area,Mean,Min,Max
1,20845,86.253,70,255
2,84,80.750,70,95
3,32,73.531,70,79
4,1,70.000,70,70
5,304,153.161,70,255
6,6,70.333,70,71
7,175,142.600,70,255
8,109,94.798,70,136
9,4,70.250,70,71
10,9,73.000,70,77
11,11,72.000,70,75
12,12,71.583,70,74
13,115,96.817,70,138
14,169,158.408,70,255
15,114,87.561,70,116
16,91,86.055,70,109
17,286,164.878,70,255
18,71,100.859,70,146
19,105,86.714,70,112
20,287,179.784,72,255
21,68,78.794,70,86
22,78,91.128,70,120
23,4,71.000,71,71
24,206,180.228,70,255
25,155,144.484,70,255
26,95,95.000,70,128
27,371,171.636,70,255
28,56,76.929,70,85
29,16,72.625,70,77
30,388,214.013,70,255
31,439,193.686,70,255
32,256,164.305,70,255
33,147,174.517,71,255
34,185,149.838,70,255
35,100,103.830,70,155
36,276,159.341,70,255
37,143,110.860,70,188
38,17,77.529,70,85
39,132,171.697,71,255
40,132,138.091,71,224
41,6,71.333,70,73
42,104,88.183,70,119
43,1,70.000,70,70
44,4,72.250,71,74
45,797,188.794,70,255
46,97,97.629,70,125
47,175,91.314,70,129
48,236,156.597,70,255
49,111,156.360,70,255
50,9,70.778,70,72
51,34,72.000,70,75
52,184,137.212,70,255
53,272,144.029,70,255
54,174,143.155,70,255
55,30,81.067,70,91
56,36,74.750,70,82
57,156,197.692,70,255
58,308,168.588,70,255
59,26,73.885,70,81
60,173,137.572,70,255
61,131,114.191,70,190
62,281,143.754,70,255
63,94,82.074,70,101
64,45,75.022,70,83
65,30,72.067,70,75
66,2,71.000,71,71
67,8,70.875,70,72
68,141,155.333,70,255
69,141,103.000,70,159
70,9,73.778,71,76
71,250,159.616,70,255
72,104,86.298,70,111
73,69,89.290,70,115
74,27,71.815,70,75
75,6,70.000,70,70
76,193,117.596,70,255
77,11,72.455,70,75
78,132,122.780,70,192
79,172,128.256,70,255
80,125,117.360,70,170
81,170,138.035,70,255
82,15,71.867,70,74
83,161,163.497,70,255
84,108,101.306,70,144
85,430,207.056,70,255
86,7,73.429,71,78
87,366,202.571,70,255
88,815,174.047,70,255
89,99,128.475,70,227
90,124,114.798,70,186
91,159,135.830,70,255
92,70,81.914,70,97
93,255,163.776,70,255
94,49,74.980,70,82
95,30,77.733,70,87
96,141,171.397,71,255
97,6,75.167,71,78
98,3099,80.382,70,108
99,30,93.367,70,126
100,252,110.020,70,255
101,195,112.349,70,219
102,288,159.455,70,255
103,190,136.321,70,255
104,297,159.896,70,255
105,7,72.286,70,74
106,161,108.422,70,192
107,153,106.144,70,170
108,101,89.832,70,124
109,42,73.690,70,78
110,69,81.217,70,95
111,194,91.851,70,195
112,188,141.798,70,255
113,299,120.040,70,255
114,29,72.483,70,76
115,146,109.788,70,184
116,3,72.000,71,73
117,123,118.959,70,187
118,132,157.311,72,255
119,127,85.819,70,111
120,286,150.189,70,255
121,65,81.308,70,96
122,258,162.965,70,255
123,42,74.310,70,79
124,307,157.068,70,255
125,141,94.986,70,134
126,177,133.977,70,255
127,147,160.871,70,255
128,347,161.259,70,255
129,89,108.899,70,228
130,278,152.910,70,255
131,212,116.863,70,255
132,206,149.626,70,255
133,173,115.936,70,210
134,113,126.832,70,225
135,291,159.285,70,255
136,390,161.667,70,255
137,236,152.525,70,255
138,57,75.684,70,82
139,145,128.517,70,237
140,363,157.603,70,255
141,231,147.688,70,255
142,94,86.553,70,107
143,49,81.204,70,92
144,86,93.453,70,125
145,37,72.865,70,76
146,130,99.292,70,149
147,101,116.911,71,174
148,363,147.705,70,255
149,123,119.098,70,173
150,2,70.000,70,70
151,128,110.461,70,166
152,209,129.062,70,225
153,219,139.274,70,255
154,205,123.093,70,255
155,430,191.323,70,255
156,132,104.265,70,157
157,20,71.100,70,73
158,56,77.946,70,86
159,67,79.403,70,89
160,109,92.835,70,125
161,307,158.420,70,255
162,10,71.100,70,73
163,133,141.436,70,241
164,73,90.274,70,116
165,195,154.908,70,255
166,158,141.646,70,255
167,95,82.926,70,97
168,2,70.000,70,70
