 ,Area,Mean,Min,Max
1,1,62.000,62,62
2,12,63.833,62,66
3,17,64.706,62,68
4,73,69.329,62,84
5,227,119.811,62,255
6,217,125.673,62,255
7,82,100.512,62,178
8,221,122.412,62,255
9,21,68.000,63,75
10,85,114.294,62,225
11,39,73.487,62,91
12,42,70.333,62,82
13,173,103.410,62,211
14,320,141.041,62,255
15,5,62.400,62,63
16,85,92.118,62,181
17,298,142.768,62,255
18,4,62.000,62,62
19,30,68.733,62,77
20,165,124.576,62,255
21,37,70.595,62,83
22,109,113.211,62,255
23,22,68.091,62,76
24,221,130.955,62,255
25,166,131.343,62,255
26,9,63.333,62,65
27,74,101.000,62,175
28,55,72.436,62,87
29,16,65.750,62,69
30,47,78.149,62,100
31,173,121.613,62,255
32,13,64.000,62,67
33,3,62.667,62,63
34,284,138.049,63,255
35,122,132.926,62,255
36,215,97.772,62,231
37,35,71.800,62,85
38,155,80.129,62,122
39,26,67.346,62,74
40,31,73.645,62,88
41,359,189.730,62,255
42,124,99.927,62,220
43,28,70.571,62,86
44,70,105.057,63,190
45,200,118.270,62,255
46,64,80.156,62,111
47,238,172.887,62,255
48,77,96.870,62,169
49,239,149.598,62,255
50,147,113.946,62,255
51,403,131.975,62,255
52,145,107.276,62,255
53,18,65.444,62,70
54,223,120.655,62,255
55,137,117.766,62,255
56,240,128.104,62,255
57,235,129.694,62,255
58,102,126.510,62,255
59,250,116.756,62,255
60,157,126.274,62,255
61,193,114.933,62,255
62,7,63.143,62,65
63,66,137.667,62,255
64,2,62.000,62,62
65,174,118.833,62,255
66,45,77.378,62,105
67,147,109.680,62,255
68,2,63.000,63,63
69,28,68.214,62,76
70,17,65.176,62,70
71,235,146.072,62,255
72,658,210.363,62,255
73,293,172.317,62,255
74,44,80.364,64,106
75,19,77.737,62,94
76,86,104.791,62,196
77,47,80.234,62,109
78,62,192.097,62,255
79,55,69.927,62,80
80,86,105.244,62,195
81,17,65.294,62,70
82,2,62.000,62,62
83,72,94.875,62,161
84,6,62.167,62,63
85,219,121.575,62,255
86,95,115.853,62,255
87,297,162.623,62,255
88,144,106.604,62,255
89,188,118.112,62,255
90,77,101.234,62,179
91,46,79.739,62,108
92,71,102.169,62,182
93,203,122.438,62,255
94,3,62.333,62,63
95,240,127.704,62,255
96,8,62.625,62,64
97,28,66.964,62,74
98,267,122.348,62,255
99,208,108.101,62,255
100,44,75.432,62,95
101,49,97.286,63,150
102,224,108.737,62,255
103,9,62.889,62,64
104,248,114.548,62,255
105,82,98.500,62,180
106,14,64.714,62,68
107,136,99.971,62,224
108,138,102.819,62,255
109,147,125.912,62,255
110,5,63.000,62,64
111,273,132.425,62,255
112,71,106.859,62,195
113,5,62.400,62,63
114,9,64.000,62,67
115,291,133.811,62,255
116,180,124.044,62,255
117,143,131.832,62,255
118,12,65.000,62,69
119,9,62.889,62,64
120,64,89.297,62,139
121,143,89.490,62,174
122,53,88.774,62,132
123,9,64.000,62,67
124,188,113.580,62,255
125,8,63.125,62,65
126,164,119.000,62,255
127,4,63.250,62,64
128,93,117.280,63,255
129,128,104.883,62,248
130,224,106.844,62,255
131,133,118.263,62,255
132,34,72.412,62,86
133,142,135.606,62,255
134,229,113.437,62,255
135,28,74.107,62,90
136,18,66.889,62,72
137,199,96.573,62,244
138,5,63.000,62,64
139,206,107.330,62,255
140,107,118.019,62,255
141,209,116.785,62,255
142,253,124.668,62,255
143,230,110.587,62,255
144,53,96.604,62,150
145,236,157.369,62,255
146,242,109.579,62,255
147,251,144.227,62,255
148,24,91.958,64,127
149,135,96.222,62,219
150,168,124.286,62,255
151,5,63.200,62,64
152,139,106.022,62,255
153,5,63.600,62,66
154,8,63.875,62,66
155,15,65.800,62,70
156,38,94.789,64,145
157,13,69.231,62,76
158,132,126.758,62,255
159,31,75.000,62,92
160,9,66.000,62,71
161,25,68.600,62,78
162,260,90.188,62,255
163,293,124.034,62,255
164,8,62.500,62,64
165,113,81.770,62,163
166,236,128.004,62,255
167,404,182.007,62,255
168,72,106.625,62,196
169,31,71.581,62,84
170,9,63.556,62,67
171,248,126.073,62,255
172,274,117.547,62,255
173,104,86.375,62,152
174,175,104.749,62,255
175,294,107.286,62,255
176,163,120.454,62,255
177,288,108.649,62,255
178,75,93.307,62,166
179,97,95.742,62,192
180,5,62.600,62,64
181,71,101.746,62,181
182,27,72.593,62,88
183,415,118.619,62,255
184,2,62.000,62,62
185,76,96.526,62,165
186,241,131.154,62,255
187,65,70.985,62,95
188,121,120.149,62,255
189,45,80.689,62,108
190,94,93.457,62,175
191,54,72.222,62,93
192,3,62.000,62,62
193,298,129.946,62,255
194,63,102.254,62,179
195,3,62.667,62,63
196,2,62.000,62,62
197,151,123.358,62,255
198,74,98.662,62,180
199,229,111.336,62,255
200,2,62.000,62,62
201,23,69.652,62,79
202,162,103.580,62,255
203,350,182.883,62,255
204,352,185.679,62,255
205,58,86.483,62,129
206,259,127.622,62,255
207,24,67.292,62,75
208,195,115.103,62,255
209,235,113.991,62,255
210,22,67.273,62,73
211,308,133.812,62,255
212,1,62.000,62,62
213,56,86.000,62,127
214,36,78.250,62,98
215,43,70.000,62,83
216,76,97.961,62,210
217,282,121.163,62,255
218,1,62.000,62,62
219,13,65.308,63,69
220,33,78.848,63,102
221,2,63.500,63,64
222,137,94.715,62,184
223,120,99.908,62,255
224,171,110.380,62,255
225,246,120.780,62,255
226,283,131.996,63,255
227,5,63.800,62,66
228,59,83.644,62,123
229,6,63.667,63,65
230,2,63.500,63,64
231,3,62.000,62,62
232,8,69.125,62,74
233,336,196.312,62,255
234,6,63.000,62,64
235,370,186.700,63,255
236,326,179.776,62,255
237,174,95.477,62,255
238,8,64.625,62,67
239,308,112.019,62,255
240,11,64.273,62,67
241,4,63.250,62,67
242,308,140.769,62,255
243,32,68.875,62,79
244,98,68.867,62,82
245,189,96.196,62,255
246,274,125.712,63,255
247,8,62.625,62,64
248,103,119.417,62,255
249,1,62.000,62,62
250,220,110.750,62,255
251,56,90.464,63,135
252,6,62.500,62,63
253,180,92.089,62,255
254,282,125.418,62,255
255,50,82.180,62,115
256,157,106.338,62,255
257,250,122.472,62,255
258,96,80.073,62,125
259,154,95.019,62,178
260,17,65.000,62,69
261,34,77.176,62,96
262,133,99.195,62,234
263,279,131.606,62,255
264,4,62.000,62,62
265,48,77.542,62,105
266,239,105.724,62,255
267,84,76.571,62,117
268,166,89.319,62,224
269,7,63.429,62,66
270,19,65.158,62,70
271,348,152.382,62,255
272,47,73.043,62,90
273,40,74.725,62,94
274,4,62.750,62,63
275,10,63.700,62,66
276,305,110.843,62,255
277,33,73.121,62,90
278,49,79.000,62,107
279,35,75.800,62,96
280,12,65.083,62,69
281,56,83.929,62,124
282,34,73.235,62,88
283,56,85.375,62,131
284,30,75.000,63,90
285,141,88.830,62,195
