 ,Area,Mean,Min,Max
1,45,16070.200,13393,24811
2,53,15044.019,10867,20759
3,134,24235.590,13031,38886
4,124,17790.016,10854,25334
5,106,18579.632,12963,24818
6,121,20215.868,11813,33464
7,226,22636.735,12560,65535
8,130,16935.592,10549,23310
9,125,16095.264,11360,19431
10,1,14335.000,14335,14335
11,16,12789.875,12308,13380
12,211,40903.730,17601,65535
13,12,14404.083,12158,16979
14,46,13999.739,11367,19900
15,103,23068.447,15253,30180
16,28,14610.286,11716,17752
17,116,17534.353,11287,27682
18,188,22457.691,11940,41229
19,125,24459.216,14130,36261
20,211,23115.758,11937,41412
21,132,16966.848,10315,24829
22,140,19865.893,12294,29336
23,106,16228.217,12585,19914
24,129,20501.620,11248,29094
25,123,19946.000,12943,25978
26,172,33980.477,13974,64938
27,101,14475.832,11906,17178
28,279,22528.423,12202,65535
29,136,22349.029,12170,35996
30,11,18016.727,14949,21385
31,74,16270.959,12818,19283
32,82,32846.488,19929,52267
33,153,34218.425,15519,65535
34,174,22549.678,14133,31536
35,296,31148.848,14469,65535
36,118,21638.712,13764,29550
37,132,31357.227,16419,48135
38,120,23927.442,12516,35635
39,110,18370.064,12871,22891
40,38,12638.158,11731,13850
41,6,17532.833,16656,18385
42,109,16459.624,12803,20894
43,169,21064.314,13813,50173
44,28,14783.179,13728,15784
45,129,17980.209,11584,25863
46,137,22470.051,13037,33158
47,117,17394.897,12093,23117
48,7,13746.000,11770,14891
49,141,24059.738,12842,38415
50,156,22828.135,12720,34868
51,99,15827.616,12815,18448
52,135,19213.689,12198,27360
53,132,24528.758,13589,37758
54,140,22540.157,14068,33803
55,136,23370.235,13227,35585
56,188,21958.883,11214,41545
57,179,25203.480,13142,54949
58,181,36404.376,17823,65535
59,117,18310.017,12744,24237
60,116,19283.784,13094,26850
61,236,27828.449,15710,65535
62,65,16166.646,12742,18544
63,122,20478.361,12441,28700
64,231,21590.758,12281,59933
65,219,23444.338,11367,44392
66,104,18351.067,12668,26157
67,189,18987.354,12830,40706
68,151,21451.636,12602,34751
69,139,21320.014,12872,34087
70,78,16669.231,12569,23288
71,178,23693.247,11559,47918
72,194,24781.191,14043,61755
73,95,24458.358,15396,41281
74,159,21426.855,12762,34853
75,113,24323.345,14399,35082
76,116,14660.966,10094,19440
77,287,31451.906,13814,65535
78,250,27007.076,13748,65535
79,93,22513.129,14349,30548
80,110,15975.791,11559,19680
81,101,19884.941,14474,29305
82,95,16762.221,12158,22663
83,188,18991.553,12953,28104
84,117,28332.863,13941,54167
85,14,16143.714,15479,17075
86,213,24910.545,12445,63214
87,132,18241.614,11434,25974
88,226,23458.146,11385,46867
89,105,19895.248,13536,39326
90,284,20547.317,11523,61495
91,201,19234.806,11650,44744
92,5,12851.000,12308,13122
93,91,22474.890,14302,35134
94,55,12008.873,10858,13083
95,248,25007.935,12107,52887
96,97,19706.010,13262,26405
97,286,22574.794,13138,44790
98,2,12833.000,12694,12972
99,81,15975.333,12049,20617
100,109,15395.688,11678,19812
101,256,23721.207,12121,50457
102,115,16573.261,12395,22011
103,140,23751.614,12324,36498
104,135,19348.281,11542,28141
105,158,20436.335,13032,33721
106,169,18474.751,10415,30371
107,193,18483.233,13351,46977
108,211,16365.645,11407,22179
109,118,18348.534,12949,24491
110,108,18058.870,11897,24117
111,184,23346.130,11745,49489
112,123,22560.878,13724,33772
113,159,16737.484,10838,26187
114,244,23543.635,14371,36084
115,128,17654.977,12288,24466
116,141,18189.270,11679,25853
117,229,18648.105,11425,33993
118,533,36494.580,14795,65535
119,378,25543.934,11903,65535
120,172,18555.192,11810,29312
121,102,16406.824,11274,21071
122,103,18254.524,12313,24526
123,8,13701.625,12487,14512
124,172,24531.628,12918,43775
125,423,43231.206,16356,65535
126,84,22993.381,15171,33009
127,132,16595.212,10706,23228
128,141,18931.433,11969,29402
129,264,21515.723,14148,52098
130,102,23905.314,14169,37298
131,9,13565.889,12434,14984
132,111,18268.946,11865,24357
133,63,15589.397,11887,25822
134,191,21233.743,11569,38428
135,94,22080.957,13008,34264
136,292,22211.661,12033,65535
137,111,18718.541,12848,26455
138,29,20130.517,18030,22720
139,110,17410.736,13013,23088
140,117,17355.282,11368,24159
141,111,14320.919,10619,17891
142,85,14158.024,11114,16428
143,271,20503.306,12729,44666
144,3,12708.667,12570,12894
145,231,19976.052,12139,51042
146,243,20386.778,9782,42330
147,293,22538.898,12033,46370
148,92,22739.228,15492,36091
149,171,18266.421,11646,31284
150,108,17438.361,11816,22600
151,116,17389.336,11691,23179
152,116,21388.121,13892,42760
153,125,17158.104,12041,22911
154,147,18497.721,11982,29401
155,156,25214.609,13132,49447
156,172,21191.221,11088,39129
157,267,20394.640,11102,58444
158,273,36061.099,16494,65535
159,285,27436.919,13088,61262
160,145,17567.076,11301,28353
161,137,15899.679,10701,23247
162,176,19186.812,12014,47041
163,202,20454.376,12010,37705
164,341,22212.868,10528,54907
165,382,25210.081,11847,65535
166,115,15811.435,11107,20979
167,191,20641.204,10806,43749
168,177,21842.311,11395,38142
169,82,31323.780,18819,50761
170,161,21543.851,11652,37252
171,100,20225.330,12322,27835
172,121,17617.826,11758,24565
173,20,11951.500,11508,12618
174,142,29527.120,14371,57617
175,137,33498.321,14550,65535
176,109,25168.991,15193,38685
177,7,15362.000,14101,15903
178,192,19928.453,10910,39539
179,88,13746.330,11087,16352
180,188,21465.378,12090,32594
181,138,18925.138,12553,37698
182,259,34858.888,12623,65535
183,190,20671.789,11303,37793
184,87,19208.862,11134,27144
185,95,15765.947,12046,19126
186,141,17523.766,11314,27031
187,130,17624.131,11668,25228
188,5,15179.800,13747,17971
189,181,23775.646,11090,47087
190,98,17423.112,11834,31067
191,245,40383.702,17498,65535
192,219,19273.393,10199,37785
193,280,34335.032,14819,65535
194,184,19032.810,11149,34176
195,99,20868.727,13632,33481
196,30,11653.133,10394,12447
197,100,16950.000,12645,22397
198,222,20732.014,10577,42606
199,118,23058.610,13151,45641
200,58,12356.586,10985,13828
201,151,18225.894,11132,28809
202,237,18988.025,11131,31969
203,188,26652.803,14269,58397
204,118,19842.059,13192,29343
205,114,16128.518,11406,21619
206,359,21330.345,12362,56047
207,87,14092.345,10813,18706
208,451,21347.346,11653,51657
209,135,15614.881,10175,23807
210,149,18421.040,11110,31352
211,296,22367.564,11276,40376
212,303,19896.446,11737,36607
213,128,14636.039,9903,20898
214,147,16567.442,10467,26729
215,8,11133.000,10552,11707
216,138,19128.014,11308,31681
217,131,14312.275,9927,21567
218,140,18240.900,11125,29717
219,117,25251.120,14561,39671
220,131,16366.466,10383,24645
221,99,16521.444,10540,24164
222,33,11630.576,10282,13505
223,46,24262.935,14802,39930
