 ,Area,Mean,Min,Max
1,77,14948.481,12590,24811
2,31,10573.613,9900,11331
3,56,14592.839,10213,20759
4,82,18811.939,11799,25334
5,61,28758.787,20304,38886
6,39,10172.846,9421,10894
7,91,19001.637,13065,24818
8,57,10269.386,9409,10912
9,92,21610.489,12760,33464
10,47,10909.766,10333,11707
11,89,29639.427,15609,65535
12,89,18833.764,13061,23310
13,61,10259.525,9646,11119
14,91,12127.374,10788,13380
15,41,11079.805,10466,11709
16,109,10827.587,10001,11702
17,9,11703.333,10841,12561
18,69,10499.783,9901,11037
19,45,17491.889,14777,19145
20,17,12785.471,12038,15353
21,95,55232.789,32319,65535
22,204,15036.539,10803,27682
23,67,10030.716,9516,10655
24,64,10307.719,9650,10985
25,88,23504.761,14525,30180
26,2,13090.000,12714,13466
27,89,26853.371,16507,36261
28,70,19197.829,14268,24829
29,18,9821.056,9200,10299
30,57,16918.333,14125,19914
31,87,22817.057,16854,29336
32,90,29578.678,15546,41229
33,87,22920.736,14028,29094
34,81,21574.086,15870,25978
35,94,28485.947,14333,41412
36,25,10629.040,9944,11106
37,39,10430.333,9662,11313
38,96,14098.417,11310,17178
39,60,11889.700,11314,12478
40,12,10826.833,10223,11278
41,47,10036.468,9291,10731
42,76,10743.013,9957,11736
43,41,12980.195,11773,13949
44,114,28673.974,16529,52267
45,91,25247.044,15776,35996
46,89,15769.472,12208,19283
47,86,44208.837,23304,64938
48,108,28010.769,15331,65535
49,95,40920.547,24719,65535
50,68,22416.618,15693,30636
51,54,10658.519,10035,11616
52,70,10607.414,9706,11876
53,69,10767.043,10019,11404
54,12,10853.500,10196,11438
55,12,10428.167,10076,10955
56,86,23275.651,16444,29550
57,129,38378.527,14895,65535
58,82,34838.134,24940,48135
59,73,26997.945,19272,35635
60,71,13041.521,12445,14057
61,43,24268.279,17045,31099
62,15,11474.000,11126,11852
63,26,12057.923,11477,12861
64,60,13102.150,12096,14182
65,17,11612.824,10878,12250
66,80,19352.300,14607,22891
67,59,11014.864,10319,12287
68,90,12226.422,10880,13850
69,16,10679.250,9875,11194
70,85,17061.882,12745,20894
71,73,14342.973,13116,15784
72,22,11756.773,11127,12685
73,95,23778.905,14650,50173
74,84,19420.071,12879,25863
75,32,11409.125,11014,11809
76,19,10783.263,10300,11280
77,77,18792.442,13633,23117
78,23,11329.174,10890,11743
79,14,11412.571,10986,12013
80,92,24978.120,14965,33158
81,23,10586.870,9911,11348
82,41,12943.317,12047,13629
83,86,28475.128,16540,38415
84,42,11965.024,11145,12712
85,28,11649.000,11122,12127
86,89,25405.079,18492,34868
87,60,16404.317,13756,18448
88,76,21800.329,14733,27360
89,90,26994.533,14956,37758
90,5,11377.000,11177,11759
91,94,25138.702,15414,33803
92,94,26073.340,14408,35585
93,19,11285.105,10641,11754
94,17,11021.353,10523,11382
95,109,29303.651,16411,54949
96,72,11875.833,11088,12546
97,89,28006.775,15732,41545
98,41,11012.171,10370,11653
99,46,11298.304,10720,12063
100,38,11744.158,11087,12411
101,31,14530.710,12927,15908
102,34,12772.559,12088,13736
103,73,12053.877,11087,12720
104,23,12170.130,11522,12714
105,133,39908.211,18114,65535
106,38,10723.132,9949,11203
107,38,10862.421,10242,11559
108,33,11650.818,10894,12425
109,85,19531.788,13640,24237
110,83,21076.892,14373,26850
111,81,14263.136,12286,16739
112,54,11991.556,11312,13005
113,102,34706.373,19441,65535
114,81,15814.395,12742,18544
115,58,11643.069,10885,12267
116,100,24943.570,14251,59933
117,24,10874.583,10284,11700
118,24,11575.250,11030,12310
119,82,22328.646,13629,28700
120,91,19203.396,14140,26157
121,59,10782.881,10023,11641
122,47,10506.638,9907,11083
123,97,20742.330,13552,40706
124,75,11335.187,10557,11985
125,89,32314.618,18344,44392
126,95,23810.116,13211,34087
127,92,25085.978,12888,34751
128,42,11654.476,10969,12334
129,33,12438.636,11110,14756
130,40,10973.900,10448,11522
131,55,12301.018,11640,13055
132,43,11037.512,10381,11808
133,95,15996.200,12071,23288
134,30,11771.300,10821,12406
135,53,13177.302,11841,15535
136,102,24170.108,14942,41281
137,103,11213.233,10504,11930
138,97,29637.103,16647,61755
139,60,13086.217,11972,14141
140,82,25929.915,15987,35082
141,12,10649.000,10273,11185
142,93,29289.505,14185,47918
143,94,44378.628,24487,65535
144,45,11423.578,10529,11975
145,127,18787.937,13131,29305
146,87,25658.667,13456,34853
147,76,15678.447,12095,19440
148,116,15212.362,11293,19680
149,55,25172.091,20220,30548
150,62,12415.290,11293,14653
151,67,12478.388,11012,14469
152,91,34846.396,19296,65535
153,37,11388.054,10910,11921
154,88,16917.409,12057,22663
155,46,11303.696,10672,11918
156,47,9956.787,9279,10420
157,28,11793.429,11164,12326
158,85,16268.494,12927,19842
159,24,9970.042,9384,10445
160,67,11109.582,10362,11913
161,80,24900.650,18344,36738
162,70,12735.557,11786,14338
163,38,11531.605,10907,12050
164,102,29939.206,15439,54167
165,61,11647.475,10632,12877
166,44,15667.955,14263,18351
167,53,9719.019,9152,10573
168,78,22314.949,13488,28104
169,51,10172.490,9537,10769
170,32,10455.000,9883,11362
171,110,18647.782,11765,25974
172,101,33817.366,19227,63214
173,57,13181.158,11836,15290
174,91,20578.077,13816,39326
175,49,10960.347,10358,11535
176,78,12425.064,11420,13630
177,11,11226.909,10638,11639
178,113,11469.637,9826,13083
179,32,10921.844,10160,11578
180,90,33532.000,19205,46867
181,101,25251.683,14654,61495
182,49,10075.327,9480,10802
183,28,11275.786,10675,12124
184,56,11800.286,10973,12612
185,92,22364.337,14302,35134
186,44,21790.955,16070,26405
