 ,Area,Mean,Min,Max
1,6,17532.833,16656,18385
2,2,12833.000,12694,12972
3,8,13701.625,12487,14512
4,9,13565.889,12434,14984
5,3,12708.667,12570,12894
6,31,10573.613,9900,11331
7,39,10172.846,9421,10894
8,57,10269.386,9409,10912
9,47,10909.766,10333,11707
10,61,10259.525,9646,11119
11,41,11079.805,10466,11709
12,109,10827.587,10001,11702
13,9,11703.333,10841,12561
14,69,10499.783,9901,11037
15,67,10030.716,9516,10655
16,64,10307.719,9650,10985
17,2,13090.000,12714,13466
18,18,9821.056,9200,10299
19,25,10629.040,9944,11106
20,39,10430.333,9662,11313
21,60,11889.700,11314,12478
22,12,10826.833,10223,11278
23,47,10036.468,9291,10731
24,76,10743.013,9957,11736
25,41,12980.195,11773,13949
26,54,10658.519,10035,11616
27,70,10607.414,9706,11876
28,69,10767.043,10019,11404
29,12,10853.500,10196,11438
30,12,10428.167,10076,10955
31,71,13041.521,12445,14057
32,15,11474.000,11126,11852
33,26,12057.923,11477,12861
34,60,13102.150,12096,14182
35,17,11612.824,10878,12250
36,59,11014.864,10319,12287
37,16,10679.250,9875,11194
38,22,11756.773,11127,12685
39,32,11409.125,11014,11809
40,19,10783.263,10300,11280
41,23,11329.174,10890,11743
42,14,11412.571,10986,12013
43,23,10586.870,9911,11348
44,41,12943.317,12047,13629
45,42,11965.024,11145,12712
46,28,11649.000,11122,12127
47,5,11377.000,11177,11759
48,19,11285.105,10641,11754
49,17,11021.353,10523,11382
50,72,11875.833,11088,12546
51,41,11012.171,10370,11653
52,46,11298.304,10720,12063
53,38,11744.158,11087,12411
54,31,14530.710,12927,15908
55,34,12772.559,12088,13736
56,73,12053.877,11087,12720
57,23,12170.130,11522,12714
58,38,10723.132,9949,11203
59,38,10862.421,10242,11559
60,33,11650.818,10894,12425
61,81,14263.136,12286,16739
62,54,11991.556,11312,13005
63,58,11643.069,10885,12267
64,24,10874.583,10284,11700
65,24,11575.250,11030,12310
66,59,10782.881,10023,11641
67,47,10506.638,9907,11083
68,75,11335.187,10557,11985
69,42,11654.476,10969,12334
70,33,12438.636,11110,14756
71,40,10973.900,10448,11522
72,55,12301.018,11640,13055
73,43,11037.512,10381,11808
74,30,11771.300,10821,12406
75,53,13177.302,11841,15535
76,103,11213.233,10504,11930
77,60,13086.217,11972,14141
78,12,10649.000,10273,11185
79,45,11423.578,10529,11975
80,62,12415.290,11293,14653
81,67,12478.388,11012,14469
82,37,11388.054,10910,11921
83,46,11303.696,10672,11918
84,47,9956.787,9279,10420
85,28,11793.429,11164,12326
86,24,9970.042,9384,10445
87,67,11109.582,10362,11913
88,70,12735.557,11786,14338
89,38,11531.605,10907,12050
90,61,11647.475,10632,12877
91,53,9719.019,9152,10573
92,51,10172.490,9537,10769
93,32,10455.000,9883,11362
94,57,13181.158,11836,15290
95,49,10960.347,10358,11535
96,11,11226.909,10638,11639
97,32,10921.844,10160,11578
98,49,10075.327,9480,10802
99,28,11275.786,10675,12124
100,56,11800.286,10973,12612
101,19,9732.316,9339,10399
102,22,11359.682,10840,11915
103,22,11061.045,10443,11533
104,56,10210.589,9710,10841
105,40,9895.675,9271,10430
106,89,11695.135,10917,12575
107,71,11496.465,10706,12405
108,58,12154.621,11338,12662
109,60,10837.600,10063,11387
110,10,11609.500,11218,11916
111,12,10071.667,9635,10331
112,67,12128.522,11366,12701
113,35,9719.371,9236,10678
114,37,11547.784,10780,13419
115,27,13187.889,12443,14120
116,17,11045.882,10562,11716
117,12,13046.667,12666,13775
118,17,12028.882,11146,12700
119,71,12661.845,11557,13637
120,40,10660.500,9987,11254
121,53,10456.434,9893,11421
122,52,11087.096,10297,11631
123,23,11663.652,10971,12315
124,55,10481.436,9644,11134
125,36,10769.056,9969,11402
126,27,11226.778,10615,11898
127,72,11299.014,10560,12223
128,11,10976.636,10511,11515
129,30,11528.467,10368,12791
130,84,11327.083,10577,12172
131,31,11117.871,10596,11728
132,43,9516.558,8976,10115
133,85,12078.718,11275,13000
134,45,11136.178,10427,11856
135,30,13636.867,12614,14435
136,67,9716.866,9010,10317
137,24,9506.792,8966,10245
138,4,12207.750,11627,12474
139,44,12269.705,11288,13073
140,21,11577.714,10300,12252
141,20,10685.000,10169,11413
142,33,11972.212,10958,13116
143,21,11199.524,10535,12029
144,11,11861.182,11229,12253
145,31,9934.323,9417,10425
146,34,11013.441,10313,11522
147,50,11515.480,10924,12195
148,35,9827.914,9195,10204
149,44,11514.727,10908,12120
150,77,11063.935,10037,11926
151,15,12314.800,11852,12797
152,9,10169.111,9812,10527
153,23,10203.304,9663,10738
154,44,11254.386,10444,12013
155,34,12054.882,11246,12761
156,8,13573.375,12434,14984
157,41,14561.488,12724,16710
158,40,10346.550,9331,11009
159,81,10137.185,9411,10743
160,19,11666.579,11311,12254
161,48,11245.125,10396,11821
162,43,9671.349,8663,10530
163,28,10148.679,9645,10633
164,87,12096.195,11390,13189
165,9,11162.000,10779,11644
166,85,12776.565,11638,13856
167,69,10513.377,9523,11381
168,42,10353.548,9780,10889
169,38,10046.316,9469,10526
170,22,11778.591,11234,12477
171,16,11184.000,10728,11912
172,12,10531.333,10207,11119
173,64,11909.094,11230,12603
174,52,12921.327,11515,15615
175,57,10074.316,9542,10674
176,47,10019.936,9225,10806
177,26,10948.385,10091,11543
178,43,11672.698,11057,12191
179,30,9844.700,9428,10368
180,39,10514.308,9949,11089
181,30,9851.067,9267,10840
182,47,11243.149,10638,11937
183,79,10947.519,9916,12048
184,7,12079.429,11329,12665
185,72,10602.639,9979,11569
186,60,10568.917,9918,11258
187,40,12183.725,11528,12699
188,14,10259.500,9900,10526
189,29,9564.172,9120,10152
190,18,9675.889,8949,10122
191,7,9650.429,9483,9792
192,41,11450.878,10449,12247
193,33,9762.061,8894,10275
194,62,10494.339,9636,11220
195,22,10208.227,9812,10533
196,76,10263.579,9563,11613
197,10,9599.100,8971,10440
198,60,11678.750,11125,12284
