Trial,Marker,label,area,mask_intensity,weighted_centroid-0,weighted_centroid-1,target_intensity,size_fraction,expressed,DF_expressed,DF_unexpressed,,,, 
2,Positive,1,93,3738.7311827957,3.88725115184842,10.7540077422621,17491.752688172,0.161290322580645,True,17491.752688172,0,,,,
2,Positive,2,43,4627.02325581395,2.20223459756134,169.265533116877,15698.8372093023,0,False,0,15698.8372093023,,,,
2,Positive,3,11,3755.18181818182,0.930568668748638,211.389909700535,15753.4545454545,0,False,0,15753.4545454545,,,,
2,Positive,4,26,3825.19230769231,1.32566487356091,353.444070182495,17133.0769230769,0,False,0,17133.0769230769,,,,
2,Positive,5,50,11709.08,1.66936258015147,390.509794108504,33459.04,0.84,True,33459.04,0,,,,
2,Positive,6,4,6007.5,0,447.488847274241,23106.5,0,False,0,23106.5,,,,
2,Positive,7,6,2905.83333333333,0.323315170633783,527.485173501577,18207,0.333333333333333,True,18207,0,,,,
2,Positive,8,14,2636,0.67824626056796,559.518642965532,16324.5,0,False,0,16324.5,,,,
2,Positive,9,90,9321.18888888889,8.59954321515973,640.416353660179,26477.9444444444,0.8,True,26477.9444444444,0,,,,
2,Positive,10,85,10452.3176470588,9.53189441801256,447.67840175047,36863.6117647059,0.847058823529412,True,36863.6117647059,0,,,,
2,Positive,11,122,10402.1639344262,12.8965229491972,461.941386722813,28685.368852459,0.729508196721311,True,28685.368852459,0,,,,
2,Positive,12,94,6947.25531914894,9.88716958480465,65.9511715938638,19344.414893617,0.797872340425532,True,19344.414893617,0,,,,
2,Positive,13,126,8915.7380952381,17.3990010530692,109.95899439461,26135.1746031746,0.722222222222222,True,26135.1746031746,0,,,,
2,Positive,14,100,9884.47,14.3964744695467,193.996068580308,38351.21,0.84,True,38351.21,0,,,,
2,Positive,15,71,6099.57746478873,15.2278084374351,421.06588542268,25634.7605633803,0.732394366197183,True,25634.7605633803,0,,,,
2,Positive,16,155,8199.24516129032,24.4018284924733,285.181373895158,27972.1548387097,0.548387096774194,True,27972.1548387097,0,,,,
2,Positive,17,123,9423.50406504065,24.8077286425311,307.144929086672,37920.2113821138,0.902439024390244,True,37920.2113821138,0,,,,
2,Positive,18,89,8474.59550561798,22.1453769958859,380.034890797214,30081.9550561798,0.876404494382022,True,30081.9550561798,0,,,,
